ccid,logistic_status,customer,serviceGroup,provider,date_check,installedTerminalSerialNumber,orderNumber,uninstalledTerminalSerialNumber,response_wkf
8955316929871120339,EM PRODUÇÃO,748693020,TROCA,PA-TECLINK,2019-06-26,6C573283,2635698,,False
89551025142011921027,EM PRODUÇÃO,208487621,TROCA,SP - CAMPINAS STONE PAGAMENTOS,2019-06-26,6C938411,2635844,,False
89550534150009114360,EM PRODUÇÃO,363630737,TROCA,PR - LONDRINA STONE PAGAMENTOS,2019-06-26,5C236916,2636237,,False
89551022242001599289,EM PRODUÇÃO,138084237,TROCA,SP - ARARAQUARA STONE PAGAMENTOS,2019-06-26,6G655227,2636275,,False
8955311929808039342,EM PRODUÇÃO,187445134,TROCA,CE-PORTALLOG,2019-06-26,5C234544,2636724,,False
89550312000139316542,EM PRODUÇÃO,177188249,TROCA,RJ - NITEROI STONE PAGAMENTOS,2019-06-26,6C930499,2636856,,False
89551020142002329169,EM PRODUÇÃO,102527450,TROCA,PR - PARANAGUA FRANQUIA,2019-06-26,68887146,2637289,,False
89551022142003546082,EM PRODUÇÃO,162787287,TROCA,SP - OURINHOS STONE PAGAMENTOS,2019-06-26,6G965761,2637485,,False
89551025142007307694,EM PRODUÇÃO,160800099,TROCA,SP - SAO CARLOS STONE PAGAMENTOS,2019-06-26,6G977802,2637642,,False
89551025142008850338,EM PRODUÇÃO,168839787,TROCA,SP - ITU STONE PAGAMENTOS,2019-06-26,5C202414,2637609,,False
89551022342000220265,EM PRODUÇÃO,660904959,TROCA,PE - JABOATAO DOS GUARARAPES STONE PAGAMENTOS,2019-06-26,51662403,2640031,,False
89551018142001083696,EM PRODUÇÃO,104738131,TROCA,PE - RECIFE 3 STONE PAGAMENTOS,2019-06-26,6C946944,2640341,,False
89550534120020598982,EM PRODUÇÃO,126725741,TROCA,SP - FRANCA STONE PAGAMENTOS,2019-06-26,6C160253,2637896,,False
89551022342000237905,EM PRODUÇÃO,851771193,TROCA,PE - VALE DO SAO FRANCISCO STONE PAGAMENTOS,2019-06-26,5C214993,2640488,,False
89551021142002163492,EM PRODUÇÃO,124772216,TROCA,PE - JABOATAO DOS GUARARAPES STONE PAGAMENTOS,2019-06-26,6G942435,2640559,,False
89551021142002164904,EM PRODUÇÃO,139851040,TROCA,PE - JABOATAO DOS GUARARAPES STONE PAGAMENTOS,2019-06-26,6G938677,2640619,,False
89551025342000430341,GOOD,912144077,TROCA,PE - RECIFE 3 STONE PAGAMENTOS,2019-06-26,,2640510,68898361,False
89550532180052074189,GOOD,139851040,TROCA,PE - JABOATAO DOS GUARARAPES STONE PAGAMENTOS,2019-06-26,,2640808,6G297584,False
89551022242001876737,GOOD,151621840,TROCA,RJ - NITEROI STONE PAGAMENTOS,2019-06-26,,2640984,6C574986,False
89551020142001475971,GOOD,163470256,TROCA,MT-CM LOGISTICA,2019-06-26,,2598422,6C090136,False
89551022142000433623,GOOD,117769659,TROCA,BA-EMPRASEL,2019-06-26,,2603231,68846307,False
89550532180052138638,GOOD,442151646,TROCA,RJ - TRES RIOS FRANQUIA,2019-06-26,,2607762,6C924723,False
89551017135000227190,GOOD,138745934,TROCA,MG-MINAS CARD JUIZ DE FORA,2019-06-26,,2608331,13210WL39877500,False
89550532190043324171,GOOD,130968856,TROCA,PR-PONTA GROSSA,2019-06-26,,2616400,13056WL39567923,False
89551022142003062254,GOOD,152581575,TROCA,RJ - TRES RIOS FRANQUIA,2019-06-26,,2616587,6C633927,False
89551017142001374336,GOOD,105056683,TROCA,BA-EMPRASEL,2019-06-26,,2624235,6C933732,False
89551080137014155138,GOOD,507030662,TROCA,TO-CRIATIVA,2019-06-26,,2625000,6C189725,False
89551025142003778658,GOOD,187094817,TROCA,PE - JABOATAO DOS GUARARAPES STONE PAGAMENTOS,2019-06-26,,2626489,68838553,False
89551018142001561428,GOOD,285816847,TROCA,PR-CASCAVEL,2019-06-26,,2627156,6C173422,False
89551022142003341815,GOOD,285816847,TROCA,PR-CASCAVEL,2019-06-26,,2627190,68840897,False
89551022142003479243,GOOD,994557755,TROCA,BA - BARREIRAS FRANQUIA,2019-06-26,,2635633,6C929669,False
89550531180051528897,GOOD,748693020,TROCA,PA-TECLINK,2019-06-26,,2635698,6C942463,False
89551025142002865308,GOOD,208487621,TROCA,SP - CAMPINAS STONE PAGAMENTOS,2019-06-26,,2635844,6C578662,False
89551080137014688674,GOOD,187445134,TROCA,CE-PORTALLOG,2019-06-26,,2636724,6G941257,False
89551022342000539151,GOOD,177188249,TROCA,RJ - NITEROI STONE PAGAMENTOS,2019-06-26,,2636856,6C829836,False
89550532120024270085,GOOD,102527450,TROCA,PR - PARANAGUA FRANQUIA,2019-06-26,,2637289,5C213084,False
89550532180044422181,GOOD,168839787,TROCA,SP - ITU STONE PAGAMENTOS,2019-06-26,,2637609,51541812,False
89551025342000669849,GOOD,481520946,TROCA,SP - LINS FRANQUIA,2019-06-26,,2638865,6C201892,False
89551020142001380890,GOOD,660904959,TROCA,PE - JABOATAO DOS GUARARAPES STONE PAGAMENTOS,2019-06-26,,2640031,51545451,False
89551025142004298573,GOOD,104738131,TROCA,PE - RECIFE 3 STONE PAGAMENTOS,2019-06-26,,2640341,6C201257,False
89550534150016344463,GOOD,124772216,TROCA,PE - JABOATAO DOS GUARARAPES STONE PAGAMENTOS,2019-06-26,,2640559,6G286912,False
89550534180025790349,GOOD,139851040,TROCA,PE - JABOATAO DOS GUARARAPES STONE PAGAMENTOS,2019-06-26,,2640619,6C929846,False
