arrivalDate,cancellationReason,city,class,contractor,country,countryState,customer,customerDeadlineDate,customerName,deadlineDate,defect,installedTerminalModel,installedTerminalSak,installedTerminalSerialNumber,installedTerminalType,kitName,kitQuantity,lastModifiedDate,logisticOperator,neighborhood,openingDate,orderNumber,project,provider,serviceGroup,serviceType,solution,status,technicianName,totalVisits,uninstalledTerminalModel,uninstalledTerminalSak,uninstalledTerminalSerialNumber,uninstalledTerminalType,visitReason1,visitReason2,date_check,ccid_out
2019-06-25T00:00:00,(Caça) Coleta agendada,INDAIATUBA,VJ-23,STONE PAGAMENTOS,BRASIL,SP,153078941,2019-06-06T18:00:00,DK BUREAU,2019-06-06T18:00:00,,,,,,,0,2019-06-25T11:13:29,VEJA7,JARDIM BELA VISTA,2019-04-02T19:08:29,2307994,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,826379,6C617054,GPRS-WIFI,,,2019-06-26,89550534120014297757
2019-06-25T00:00:00,(Caça) Operador deixou recado,INDAIATUBA,VJ-23,STONE PAGAMENTOS,BRASIL,SP,153078941,2019-06-06T18:00:00,DK BUREAU,2019-06-06T18:00:00,,,,,,,0,2019-06-25T11:09:04,VEJA7,JARDIM BELA VISTA,2019-04-02T19:08:33,2307997,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,826380,6C617131,GPRS-WIFI,,,2019-06-26,
2019-06-25T17:36:00,,ESTANCIA VELHA,VJ-23,STONE PAGAMENTOS,BRASIL,RS,186452155,2019-06-06T18:00:00,Jauri Junior,2019-06-06T18:00:00,,,,,,,0,2019-06-25T17:48:02,VEJA7,CENTRO,2019-04-02T18:04:41,2306507,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-INFODATALOG-MOTOBOY-001,0,S920,794406,6C093946,GPRS-WIFI,,,2019-06-26,
2019-06-25T19:42:00,(Caça) Coleta agendada,FLORIANOPOLIS,VJ-23,STONE PAGAMENTOS,BRASIL,SC,183197319,2019-06-06T18:00:00,BONECA DE LUXO,2019-06-06T18:00:00,,,,,,,0,2019-06-25T19:48:12,VEJA7,Centro,2019-04-02T18:17:14,2306876,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-DLC LOGISTICA - MOTOBOY - 01,1,S920,536496,6C186815,GPRS-WIFI,,,2019-06-26,89550531180046351553
2019-06-25T00:00:00,,INDAIATUBA,VJ-23,STONE PAGAMENTOS,BRASIL,SP,134812054,2019-06-06T18:00:00,ADRIANA  MATTOS,2019-08-28T18:00:00,,,,,,,0,2019-06-25T10:55:35,VEJA7,Vila Suíça,2019-04-02T18:53:01,2307380,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,600846,6C233933,GPRS-WIFI,(Caça) Cliente deseja reativar,,2019-06-26,
2019-06-25T00:00:00,(Caça) Tentativa de contato via telefone,VOLTA REDONDA,VJ-23,STONE PAGAMENTOS,BRASIL,RJ,578045881,2019-06-07T18:00:00,CLIC SAUDE VR.,2019-06-07T18:00:00,,,,,,,0,2019-06-25T12:43:35,VEJA7,Vila Santa Cecília,2019-04-02T18:58:01,2307560,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,967837,6C574283,GPRS-WIFI,,,2019-06-26,89551025342000667850
2019-06-25T00:00:00,(Caça) Tentativa de contato via telefone,FORTALEZA,VJ-23,STONE PAGAMENTOS,BRASIL,CE,203356749,2019-06-06T18:00:00,Portela Repre,2019-06-06T18:00:00,,,,,,,0,2019-06-25T11:49:53,VEJA7,MARAPONGA,2019-04-02T19:04:15,2307822,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,1102075,6C606868,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,(Caça) Coleta agendada,RIO DE JANEIRO,VJ-23,STONE PAGAMENTOS,BRASIL,RJ,127932827,2019-06-07T18:00:00,Namaste,2019-06-07T18:00:00,,,,,,,0,2019-06-25T15:59:15,VEJA7,Ipanema,2019-04-02T19:05:16,2307863,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,835404,6C609574,GPRS-WIFI,,,2019-06-26,89553403000043088264
2019-06-25T20:22:00,(Caça) Coleta agendada,SAO PAULO,VJ-23,STONE PAGAMENTOS,BRASIL,SP,206152860,2019-06-06T18:00:00,Maria Bonita,2019-06-06T18:00:00,,,,,,,0,2019-06-25T20:33:12,VEJA7,Vila Gomes Cardim,2019-04-02T19:14:22,2308210,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-MARKA EXPRESS-MOTOBOY-001,1,S920,959760,6C630506,GPRS-WIFI,,,2019-06-26,89550532120024230469
2019-06-25T19:20:00,(Caça) Coleta agendada,SAO PAULO,VJ-23,STONE PAGAMENTOS,BRASIL,SP,845647928,2019-06-06T18:00:00,Training UP,2019-06-06T18:00:00,,,,,,,0,2019-06-25T19:33:50,VEJA7,Ipiranga,2019-04-02T19:51:54,2309218,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,STONE-ATOMIC EXPRESS-MOTOBOY-001,0,S920,1181495,6C933030,GPRS-WIFI,,,2019-06-26,89551080137011112884
2019-06-25T00:00:00,,VOLTA REDONDA,VJ-16,STONE PAGAMENTOS,BRASIL,RJ,689507247,2019-05-11T18:00:00,Betinho ReparacaoAuto,2019-05-11T18:00:00,,,,,,,0,2019-06-25T13:18:21,VEJA7,Retiro,2019-02-12T15:13:51,2096663,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,932794,6C839292,GPRS-WIFI,,,2019-06-26,89550531150006959893
2019-06-25T00:00:00,,RIO DE JANEIRO,VJ-0.3,STONE PAGAMENTOS,BRASIL,RJ,214069959,2019-05-14T18:00:00,RestauranteBellaVista,2019-05-14T18:00:00,,,,,,,0,2019-06-25T12:52:11,VEJA7,Copacabana,2019-02-13T18:47:18,2109676,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,S920,810235,6C579214,GPRS-WIFI,,,2019-06-26,
2019-06-25T00:00:00,,NOVA IGUACU,VJ-18,STONE PAGAMENTOS,BRASIL,RJ,840693798,2019-05-31T18:00:00,H VERRY,2019-05-31T18:00:00,,,,,,,0,2019-06-25T14:36:25,VEJA7,Centro,2019-02-26T19:11:53,2172429,,VEJA7 - BASE,DESINSTALAÇÃO,CAÇA POS,,BAIXADA,VEJA7,1,D210N,260958,51538371,GPRS-WIFI,,,2019-06-26,89551001126000810661
