ccid,customer,date_check,logistic_status,provider,serviceGroup,installedTerminalSerialNumber,orderNumber,uninstalledTerminalSerialNumber
89550531150007325870,143310080,2019-06-12,GOOD,PR - LONDRINA STONE PAGAMENTOS,DESINSTALAÇÃO,,2587103.0,5C235157
89550532180051291594,168844840,2019-06-12,GOOD,RS - PELOTAS STONE PAGAMENTOS,DESINSTALAÇÃO,,2587113.0,6C049261
89551020142001498262,196131127,2019-06-12,GOOD,PR - CURITIBA SUL STONE PAGAMENTOS,DESINSTALAÇÃO,,2587130.0,6C185978
89551025142003867758,175021440,2019-06-12,GOOD,SC - FLORIANOPOLIS STONE PAGAMENTOS,DESINSTALAÇÃO,,2587134.0,51759391
89551025142004286420,407162427,2019-06-12,GOOD,SP-FLY ENTREGAS,DESINSTALAÇÃO,,2587147.0,6C090171
89551022342000660635,114256516,2019-06-12,GOOD,SP - CENTRO 2 STONE PAGAMENTOS,DESINSTALAÇÃO,,2587181.0,6C864469
89551025142004279680,242552200,2019-06-12,GOOD,RJ - SAO GONÇALO STONE PAGAMENTOS,DESINSTALAÇÃO,,2587182.0,6C094484
89550312000137306040,242552200,2019-06-12,GOOD,RJ - SAO GONÇALO STONE PAGAMENTOS,DESINSTALAÇÃO,,2587183.0,51509226
89551025342000126873,431237484,2019-06-12,GOOD,SP - CENTRO 2 STONE PAGAMENTOS,DESINSTALAÇÃO,,2587235.0,6C632994
89550534120014429871,284093305,2019-06-12,GOOD,RJ-BC SANTOS,DESINSTALAÇÃO,,2587229.0,51512092
89550531180051501993,161873356,2019-06-12,GOOD,AL - MACEIO STONE PAGAMENTOS,DESINSTALAÇÃO,,2587256.0,6G279642
89550534120014297005,161873356,2019-06-12,GOOD,AL - MACEIO STONE PAGAMENTOS,DESINSTALAÇÃO,,2587259.0,6C096431
8955311929880626529,163776618,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2433699.0,6C161235
89550532180050265227,191586523,2019-06-12,GOOD,MG - GOVERNADOR VALADARES STONE PAGAMENTOS,DESINSTALAÇÃO,,2588559.0,6G296883
89551080137010978525,199607737,2019-06-12,GOOD,PE - RECIFE 2 STONE PAGAMENTOS,DESINSTALAÇÃO,,2586873.0,6C942029
89550534110019915040,107268245,2019-06-12,GOOD,SP - PAYTEC RT,DESINSTALAÇÃO,,2587291.0,6C915373
89551018142001551684,107268245,2019-06-12,GOOD,SP - PAYTEC RT,DESINSTALAÇÃO,,2587294.0,51623161
89551022242002578662,185992871,2019-06-12,GOOD,SP - ASSIS STONE PAGAMENTOS,DESINSTALAÇÃO,,2587301.0,6C177222
89550531180051531081,178566974,2019-06-12,GOOD,SP-FLY ENTREGAS,DESINSTALAÇÃO,,2587309.0,6C854416
89551025142011967236,161873356,2019-06-12,GOOD,AL - MACEIO STONE PAGAMENTOS,DESINSTALAÇÃO,,2587334.0,6C215878
89550532120023532717,154251682,2019-06-12,GOOD,SP - JARDINS STONE PAGAMENTOS,DESINSTALAÇÃO,,2587349.0,6G660173
89551018142001569744,154251682,2019-06-12,GOOD,SP - JARDINS STONE PAGAMENTOS,DESINSTALAÇÃO,,2587365.0,6G652378
89551025142003942155,154251682,2019-06-12,GOOD,SP - JARDINS STONE PAGAMENTOS,DESINSTALAÇÃO,,2587381.0,6G660512
89550534150009097797,114124368,2019-06-12,GOOD,DF - BRASILIA 3 STONE PAGAMENTOS,DESINSTALAÇÃO,,2587397.0,68848370
89550532150014980112,143531177,2019-06-12,GOOD,SC - JOINVILLE STONE PAGAMENTOS,DESINSTALAÇÃO,,2587405.0,6C617064
89551022142002618650,195358769,2019-06-12,GOOD,SC - ITAJAI STONE PAGAMENTOS,DESINSTALAÇÃO,,2588632.0,6C830594
89550312000035923110,954254654,2019-06-12,GOOD,SP - PAYTEC RT,DESINSTALAÇÃO,,2587418.0,68874163
89551025142005352916,109451753,2019-06-12,GOOD,SC - SAO JOSE STONE PAGAMENTOS,DESINSTALAÇÃO,,2587434.0,6C095033
89551022142003422839,164578615,2019-06-12,GOOD,SP - CENTRO 2 STONE PAGAMENTOS,DESINSTALAÇÃO,,2587455.0,6C859657
89551025142004187271,194953493,2019-06-12,GOOD,SP - PAYTEC RT,DESINSTALAÇÃO,,2587458.0,6C633290
89551018142000878377,161641967,2019-06-12,GOOD,BA - TEIXEIRA DE FREITAS FRANQUIA,DESINSTALAÇÃO,,2587473.0,6C918872
89551022142002911022,212858895,2019-06-12,GOOD,SP - BAURU STONE PAGAMENTOS,DESINSTALAÇÃO,,2587482.0,6C943144
89551022142002708931,208844128,2019-06-12,GOOD,SP - SANTO AMARO STONE PAGAMENTOS,DESINSTALAÇÃO,,2587487.0,68890869
89550534120014286032,211288640,2019-06-12,GOOD,PR - CURITIBA NORTE STONE PAGAMENTOS,DESINSTALAÇÃO,,2587490.0,68841431
89551025142011946982,740196307,2019-06-12,GOOD,SP - SJC STONE PAGAMENTOS,DESINSTALAÇÃO,,2587532.0,6C936306
89551022142003090685,204548476,2019-06-12,GOOD,DF - BRASILIA STONE PAGAMENTOS,DESINSTALAÇÃO,,2586337.0,6G944211
89550532110019671934,146659049,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2519655.0,6C236996
89550531190028698129,148546646,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2473984.0,6C577116
89550531150006872567,148546646,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2473992.0,6C579910
89551025142010385950,222231146,2019-06-12,GOOD,RJ - CAMPOS STONE PAGAMENTOS,DESINSTALAÇÃO,,2587594.0,6C832864
89551021142002128149,706291858,2019-06-12,GOOD,VEJA7 - BASE,DESINSTALAÇÃO,,2474182.0,6G433347
89551018142000511358,682103517,2019-06-12,GOOD,RJ - BUNKER 1 STONE PAGAMENTOS,DESINSTALAÇÃO,,2587615.0,6G647831
89551018142001553326,226915555,2019-06-12,GOOD,SP-FLY ENTREGAS,DESINSTALAÇÃO,,2587631.0,6C912353
89551018142001551486,226915555,2019-06-12,GOOD,SP-FLY ENTREGAS,DESINSTALAÇÃO,,2587647.0,68855814
89550534150016367548,212248257,2019-06-12,GOOD,SP - SAO JOSE DO RIO PRETO STONE PAGAMENTOS,DESINSTALAÇÃO,,2587687.0,6G647317
89551020142001535592,547455430,2019-06-12,GOOD,PR - LONDRINA STONE PAGAMENTOS,DESINSTALAÇÃO,,2585908.0,5C229637
89551017142001336673,204548476,2019-06-12,GOOD,DF - BRASILIA STONE PAGAMENTOS,DESINSTALAÇÃO,,2586333.0,6G946071
89551025342000667587,204548476,2019-06-12,GOOD,DF - BRASILIA STONE PAGAMENTOS,DESINSTALAÇÃO,,2586334.0,6G946279
89551080137011180360,196334916,2019-06-12,GOOD,RR - BOA VISTA FRANQUIA,DESINSTALAÇÃO,,2587659.0,6G656557
